Du;Au;Nom de la course;Catégorie;Organisateur;Discipline;Département;lieu
15/10/23;15/10/23;GENTLEMAN DE SCIENTRIER;Gentlemen;Comité départemental Haute-Savoie FFC;Route;74;SCIENTRIER
14/10/23;14/10/23;TROPHEE DES GRIMPEURS LAVOUTE CHILHAC FERRUSSAC;Grimpée chronométrée;VELO SPORT BRIVADOIS ;Route;43;SAINT CIRGUES-LAVOUTE CHILHAC
14/10/23;14/10/23;GENTLEMAN CALADOIS;Gentlemen;V.C. VILLEFRANCHE BEAUJOLAIS;Route;69;GLEIZE
14/10/23;14/10/23;CHALLENGE DES MURES;Test chronométré;E.C. MUROISE;Route;69;SAINT LAURENT DE MURE
08/10/23;08/10/23;FINALE TDJV/TDJC;Ecole de route;Comité départemental Haute-Savoie FFC;Route;74;SAMOENS
08/10/23;08/10/23;CYCLO LES HÉROS;Cyclosportive;ALPES VELO;Route;1;SAINT-VULBAS
07/10/23;07/10/23;GENTLEMEN DE TAPONAS;Gentlemen;CYCL'HAUT MAURIENNAIS;Route;69;BELLEVILLE
07/10/23;07/10/23;L'AIN VÉLO VINTAGE;Randonnée;ALPES VELO;Route;1;SAINT-VULBAS
01/10/23;01/10/23;CYCLO-CROSS SCIONZIER - ÉCOLE ROUTE/ VTT;Ecole de route;V.C. CLUSES SCIONZIER;Route;74;SCIONZIER 
01/10/23;01/10/23;PRIX DE SAINT REMY;Access hommes;E.C. BOURG EN BRESSE;Route;1;SAINT RÉMY
01/10/23;01/10/23;PRIX DE SAINT REMY;U17 hommes;E.C. BOURG EN BRESSE;Route;1;SAINT RÉMY
01/10/23;01/10/23;PRIX DE SAINT REMY;Ecole de route;E.C. BOURG EN BRESSE;Route;1;SAINT RÉMY
01/10/23;01/10/23;PRIX DE FOURNEAUX;Open1 hommes et +;C.R.4 CHEMINS/ROANNE;Route;42;FOURNEAUX
01/10/23;01/10/23;PRIX DE MANZIAT;Elites hommes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;MANZIAT
01/10/23;01/10/23;GRAND PRIX DE SAINT PIERRE EN FAUCIGNY;Access hommes;BONNEVILLE ARVE ET BORNE CYCLISME;Route;74;SAINT PIERRE EN FAUCIGNY
01/10/23;01/10/23;GRAND PRIX DE SAINT PIERRE EN FAUCIGNY;U17 hommes;BONNEVILLE ARVE ET BORNE CYCLISME;Route;74;SAINT PIERRE EN FAUCIGNY
24/09/23;24/09/23;GENTLEMEN;Gentlemen;V C PAYS DE SAINT-FLOUR ;Route;15;PAULHAC / VALUÉJOLS
24/09/23;24/09/23;CHRONO DE L'OMS - CHAMPIONNAT DE HAUTE-SAVOIE DU CLM;Test chronométré;U.C. THONONAISE;Route;74;THONON LES BAINS
24/09/23;24/09/23;TOUR DU PAYS DE GEX ( À CONFIRMER );Elites hommes (régional) et +;U.C. GESSIENNE;Route;1;SAINT GENIS POUILLY
23/09/23;23/09/23;MONTEE DE BERZET;Test chronométré;V C COURNON D'AUVERGNE;Route;63;COURNON D'AUVERGNE
17/09/23;17/09/23;3ÈME TOUR DU HAUT BUGEY;Open1 hommes et +;IZERNORE VEL'HAUT BUGEY;Route;1;MAILLAT
17/09/23;17/09/23;3ÈME TOUR DU HAUT BUGEY;Access hommes;IZERNORE VEL'HAUT BUGEY;Route;1;MAILLAT
17/09/23;17/09/23;3ÈME TOUR DU HAUT BUGEY;Elites femmes (régional) et +;IZERNORE VEL'HAUT BUGEY;Route;1;MAILLAT
17/09/23;17/09/23;3ÈME TOUR DU HAUT BUGEY;U15+U17 femmes;IZERNORE VEL'HAUT BUGEY;Route;1;MAILLAT
17/09/23;17/09/23;3ÈME TOUR DU HAUT BUGEY;U17 hommes;IZERNORE VEL'HAUT BUGEY;Route;1;MAILLAT
17/09/23;17/09/23;3ÈME TOUR DU HAUT BUGEY;U15 hommes;IZERNORE VEL'HAUT BUGEY;Route;1;MAILLAT
17/09/23;17/09/23;GRAND PRIX DU DOMAINE UNIVERSITAIRE DE GRENOBLE;Access hommes;G.M.C. 38 (EYBENS FORMATION);Route;38;DOMAINE UNIVERSITAIRE DE GRENOBLE
17/09/23;17/09/23;GRAND PRIX DU DOMAINE UNIVERSITAIRE DE GRENOBLE;U17 hommes;G.M.C. 38 (EYBENS FORMATION);Route;38;DOMAINE UNIVERSITAIRE DE GRENOBLE
17/09/23;17/09/23;GRAND PRIX DU DOMAINE UNIVERSITAIRE DE GRENOBLE;Ecole de route;G.M.C. 38 (EYBENS FORMATION);Route;38;DOMAINE UNIVERSITAIRE DE GRENOBLE
16/09/23;16/09/23;PRIX EUGENE DAUPHIN;Ecole de route;VELO CLUB AMBERTOIS ;Route;63;BERTIGNAT
16/09/23;16/09/23;GRAND PRIX DE VARENNES;Elites hommes (régional) et +;U C VARENNES SAINT POURCAIN ;Route;3;VARENNES-SUR-ALLIER 
16/09/23;16/09/23;MANCHE TDJC CYCLO-CROSS;Ecole de route;TEAM ALLINGES PUBLIER;Route;74;AMPHION LES BAINS
16/09/23;17/09/23;LES RONDES DES ADHEMAR  2EME MANCHE;Open2 hommes et +;SJVC MONTELIMAR;Route;26;CHATEAUNEUF ET ALLAN 
11/09/23;11/09/23;GRAND PRIX JEAN VANNIER;Elites hommes (régional) et +;ISSOIRE CYCLISME;Route;1;ISSOIRE
10/09/23;10/09/23;GRAND PRIX DU FAUCIGNY - TROPHEE JEAN LAIN SKODA;Access hommes;V.C. CLUSES SCIONZIER;Route;74;SCIONZIER
10/09/23;10/09/23;GRAND PRIX DU FAUCIGNY - TROPHEE JEAN LAIN SKODA;U17 hommes;V.C. CLUSES SCIONZIER;Route;74;SCIONZIER
10/09/23;10/09/23;GRAND PRIX DU FAUCIGNY - TROPHEE JEAN LAIN SKODA;Elites hommes (régional) et +;V.C. CLUSES SCIONZIER;Route;74;SCIONZIER
10/09/23;10/09/23;GRAND PRIX DE VOIRON "SOUVENIR DOMINIQUE MORENO";Ecole de route;U.C. VOIRONNAISE;Route;38;VOIRON
10/09/23;10/09/23;21EME GRAND PRIX D'ARDOIX;U15 hommes;SARRAS ST VALLIER CYCLISME;Route;7;ARDOIX
10/09/23;10/09/23;21EME GRAND PRIX D'ARDOIX;U17 hommes;SARRAS ST VALLIER CYCLISME;Route;7;ARDOIX
10/09/23;10/09/23;21EME GRAND PRIX D'ARDOIX;Ecole de route;SARRAS ST VALLIER CYCLISME;Route;7;ARDOIX
10/09/23;10/09/23;CLASSIC JEAN-PATRICK DUBUISSON CDF NATIONALE 3;Elite nationale hommes;CLASSIC JEAN PATRICK DUBUISSON ORGANISATIONS ;Route;3;
10/09/23;10/09/23;PRIX DE LA ZONE DES GRANGES;U17 hommes;COURS LA VILLE CYCLISME;Route;69;BOURG DE THIZY
10/09/23;10/09/23;PRIX DE LA ZONE DES GRANGES;Ecole de route;COURS LA VILLE CYCLISME;Route;69;BOURG DE THIZY
10/09/23;10/09/23;LA REMI CAVAGNA;Cyclosportive;C.R.4 CHEMINS/ROANNE;Route;42;SAINT JUSAINT EN CHEVALET
09/09/23;09/09/23;LA SANSACOISE;Randonnée;VELO CLUB SANSAC ARPAJON ;Route;15;SANSAC DE MARMIESSE
09/09/23;10/09/23;TOUR DU PAYS VOIRONNAIS;Access hommes;U.C. VOIRONNAISE;Route;38;VOIRONNAIS
09/09/23;10/09/23;TOUR DU PAYS VOIRONNAIS FEMININ;Elites femmes (régional) et +;U.C. VOIRONNAISE;Route;38;VOIRONNAIS
09/09/23;10/09/23;TOUR DU PAYS VOIRONNAIS U17;U17 hommes;U.C. VOIRONNAISE;Route;38;VOIRONNAIS
09/09/23;09/09/23;TOUR DU PAYS VOIRONNAIS U15;U15 hommes;U.C. VOIRONNAISE;Route;38;SAINT ETIENNE DE CROSSEY
09/09/23;10/09/23;TOUR DU PAYS VOIRONNAIS;Open3 hommes et +;U.C. VOIRONNAISE;Route;38;PAYS VOIRONNAIS
09/09/23;09/09/23;GRAND PRIX DE LA VILLE DE BELLEY;Access hommes;U.C. CULOZ/BELLEY;Route;1;BELLEY
09/09/23;09/09/23;GRAND PRIX DE LA VILLE DE BELLEY;Open3 hommes et +;U.C. CULOZ/BELLEY;Route;1;BELLEY
09/09/23;09/09/23;LA CLASSIC JP DUBUISSON U19;U19 hommes fédéral;CLASSIC JEAN PATRICK DUBUISSON ORGANISATIONS ;Route;3;CHAZEMAIS
09/09/23;09/09/23;PRIX DU COMITE DES FETES DE LAPALISSE;Open1 hommes et +;AVENIR CYCLISTE CUSSET ;Route;3;LAPALISSE
05/09/23;11/09/23;TOUR CYCLISTE INTERNATIONALE FEMININ DE L'ARDECHE;UCI Femmes;VC VALLEE RHONE ARDECHOISE;Route;7;
03/09/23;03/09/23;LA RONDE DU PARC ;U17 hommes;SJVC MONTELIMAR;Route;26;MONTELIMAR
03/09/23;03/09/23;LA RONDE DU PARC;U15 hommes;SJVC MONTELIMAR;Route;26;MONTELIMAR
03/09/23;03/09/23;LES RONDES DES ADHEMAR 1ERE MANCHE;Open2 hommes et +;SJVC MONTELIMAR;Route;26;MONTELIMAR
03/09/23;03/09/23;GRAND PRIX DE CERVENS;U17 hommes;EVIAN VELO;Route;74;CERVENS
03/09/23;03/09/23;GRAND PRIX DE CERVENS;Ecole de route;EVIAN VELO;Route;74;CERVENS
03/09/23;03/09/23;PRIX D'EVIRES;Elites femmes (régional) et +;Comité départemental Haute-Savoie FFC;Route;74;EVIRES
03/09/23;03/09/23;PRIX D'EVIRES;Access hommes;Comité départemental Haute-Savoie FFC;Route;74;EVIRES
03/09/23;03/09/23;PRIX D'EVIRES;Open1 hommes et +;Comité départemental Haute-Savoie FFC;Route;74;EVIRES
02/09/23;02/09/23;RANDO DE L'ACVA;Randonnée;A C V AURILLACOIS ;Route;15;BOUDIEU BAS AURILLAC
01/09/23;01/09/23;NOCTURNE DE LA FETE;Open2 hommes et +;V.C. FEURS/BALBIGNY;Route;42;FEURS
29/08/23;02/09/23;TOUR DE L AVENIR FEMININ;UCI Femmes;ALPES VELO;Route;1;
28/08/23;28/08/23;PRIX DE POMMIERS;Open1 hommes et +;C.R.4 CHEMINS/ROANNE;Route;42;POMMIERS
27/08/23;27/08/23;PRIX DE LA MUNICIPALITE DE RUMILLY;Open1 hommes et +;V.C. RUMILLIEN;Route;74;RUMILLY
27/08/23;27/08/23;PRIX DE LA MUNICIPALITE DE RUMILLY;Access hommes;V.C. RUMILLIEN;Route;74;RUMILLY
27/08/23;27/08/23;TP RAOUX;U15 hommes;V.C. PIERRELATTE;Route;26;PIERRELATTE 
27/08/23;27/08/23;TP RAOUX;U17 hommes;V.C. PIERRELATTE;Route;26;PIERRELATTE 
27/08/23;27/08/23;TP RAOUX;Access hommes;V.C. PIERRELATTE;Route;26;PIERRELATTE 
27/08/23;27/08/23;TP RAOUX;Elites hommes (régional) et +;V.C. PIERRELATTE;Route;26;PIERRELATTE 
