Du;Au;Nom de la course;Catégorie;Organisateur;Discipline;Département;lieu
09/12/23;10/12/23;INDOOR BMX ST ETIENNE;BMX Racing;ST ETIENNE BMX;BMX;42;ST ETIENNE
25/11/23;25/11/23;3EME TROPHEE RENE VICAT ;BMX Racing;BMX MOURS-ROMANS;BMX;26;BMX MOURS ROMANS 
28/10/23;29/10/23;TROPHEE DE LA CHATAIGNE BMX DROME/ARDECHE;BMX Racing;BMX RIDERS 07;BMX;7;LAVILLEDIEU
26/10/23;28/10/23;LES 3 JOURS DE GRENOBLE U15-U17-U19 H&F;Toutes catégories;E.S. ST MARTIN D'HERES;Piste;38;PALAIS DES SPORTS DE GRENOBLE
26/10/23;28/10/23;LES 3 JOURS DE GRENOBLE UCI;Toutes catégories;E.S. ST MARTIN D'HERES;Piste;38;PALAIS DES SPORTS DE GRENOBLE
22/10/23;22/10/23;COUPE D AUTOMNE BMX #4;BMX Racing;MONTMELIAN BMX;BMX;73;MONTMELIAN
22/10/23;22/10/23;AMERICAINE VTT DE RUMILLY;Américaine;V.C. RUMILLIEN;VTT;74;RUMILLY
22/10/23;22/10/23;TROPHEE DE LA CAILLETTE BMX;BMX Racing;CHABEUIL BMX;BMX;26;CHABEUIL 
15/10/23;15/10/23;GENTLEMAN DE SCIENTRIER;Gentlemen;Comité départemental Haute-Savoie FFC;Route;74;SCIENTRIER
14/10/23;14/10/23;COUPE BMX ARML 2023 #6;BMX Racing;BMX NEUVILLE;BMX;69;NEUVILLE-SUR-SAÔNE
14/10/23;14/10/23;2EME NUIT DES LAUZES;Randonnée;CREMIEU VTT;VTT;38;CRÉMIEU 38
14/10/23;14/10/23;TROPHEE DES GRIMPEURS LA CLAUDE SEGUY;Grimpée chronométrée;VELO SPORT BRIVADOIS ;Route;43;SAINT CIRGUES-LAVOUTE CHILHAC
14/10/23;14/10/23;GENTLEMAN CALADOIS;Gentlemen;V.C. VILLEFRANCHE BEAUJOLAIS;Route;69;GLEIZE
14/10/23;14/10/23;CHALLENGE DES MURES;Test chronométré;E.C. MUROISE;Route;69;SAINT LAURENT DE MURE
14/10/23;14/10/23;TROPHEE ELIPP6;BMX Racing;BMX CLUB PIERRELATTE;BMX;26;PIERRELATTE
08/10/23;08/10/23;COUPE BMX ARML 2023 #4;BMX Racing;BEYNOST BMX LA COTIERE;BMX;1;BEYNOST
08/10/23;08/10/23;FINALE TDJV/TDJC;Ecole de route;Comité départemental Haute-Savoie FFC;Route;74;SAMOENS
08/10/23;08/10/23;CYCLO LES HÉROS;Cyclosportive;ALPES VELO;Route;1;SAINT-VULBAS
07/10/23;07/10/23;GENTLEMEN DE TAPONAS;Gentlemen;U.C. BELLEVILLOISE;Route;69;BELLEVILLE
07/10/23;07/10/23;L'AIN VÉLO VINTAGE;Randonnée;ALPES VELO;Route;1;SAINT-VULBAS
07/10/23;07/10/23;TROPHEE DU NOUGAT;BMX Racing;MONTELIMAR BMX RACING;BMX;26;ROUTE DE SAINT GERVAIS
01/10/23;01/10/23;CHAMPIONNAT DU CANTAL VTT - MARCOLES;XC Toutes catégories;V.C. MAURSOIS;VTT;15;MARCOLES
01/10/23;01/10/23;CYCLO-CROSS SCIONZIER - ÉCOLE ROUTE/ VTT;Ecole de route;V.C. CLUSES SCIONZIER;Route;74;SCIONZIER 
01/10/23;01/10/23;PRIX DE SAINT REMY;Access hommes;E.C. BOURG EN BRESSE;Route;1;SAINT RÉMY
01/10/23;01/10/23;PRIX DE SAINT REMY;U17 hommes;E.C. BOURG EN BRESSE;Route;1;SAINT RÉMY
01/10/23;01/10/23;PRIX DE SAINT REMY;Ecole de route;E.C. BOURG EN BRESSE;Route;1;SAINT RÉMY
01/10/23;01/10/23;PRIX DE FOURNEAUX;Open1 hommes et +;C.R.4 CHEMINS/ROANNE;Route;42;FOURNEAUX
01/10/23;01/10/23;PRIX DE MANZIAT;Elite hommes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;MANZIAT
01/10/23;01/10/23;GRAND PRIX DE SAINT PIERRE EN FAUCIGNY;Access hommes;BONNEVILLE ARVE ET BORNE CYCLISME;Route;74;SAINT PIERRE EN FAUCIGNY
01/10/23;01/10/23;GRAND PRIX DE SAINT PIERRE EN FAUCIGNY;U17 hommes;BONNEVILLE ARVE ET BORNE CYCLISME;Route;74;SAINT PIERRE EN FAUCIGNY
30/09/23;01/10/23;COUPE DU MONDE WES UCI E-MTB XC;VAE;WES;VTT;63;CLERMONT-FERRAND
30/09/23;30/09/23;TROPHEE DES GRIMPEURS MONTEE DE SANS SOUCI;Grimpée chronométrée;TEAM CHATEL GUYON;Route;63;CHATEL GUYON
30/09/23;01/10/23;AURA DH CUP #3;DH Toutes catégories;LES PIEDS A TERRE;VTT;38;PRAPOUTEL
30/09/23;30/09/23;VETATHLON DES OZIERES;Vétathlon;R. O. MOULINS YZEURE AVERMES ;VTT;3;YZEURE
